NAMESPACE         NAME                CLASS   HOSTS                                        ADDRESS       PORTS     AGE
ace-step          ace-step            nginx   ace-step.eaglepass.io                        10.0.20.226   80, 443   17d
argocd            argocd-server       nginx   argocd.eaglepass.io                          10.0.20.226   80, 443   76d
backlog-canary    backlog-canary      nginx   backlog-canary.eaglepass.io                  10.0.20.226   80, 443   49d
backlog           backlog             nginx   backlog.eaglepass.io                         10.0.20.226   80, 443   49d
budget-canary     budget-canary       nginx   budget-canary.eaglepass.io                   10.0.20.226   80, 443   55d
budget            budget              nginx   budget.eaglepass.io                          10.0.20.226   80, 443   55d
dex               dex                 nginx   dex.eaglepass.io                             10.0.20.226   80, 443   76d
emby              emby                nginx   emby.eaglepass.io,emby-health.eaglepass.io   10.0.20.226   80, 443   76d
explorers-hub     explorers-hub       nginx   explorers.eaglepass.io                       10.0.20.226   80, 443   66d
gitea             gitea               nginx   git.eaglepass.io                             10.0.20.226   80, 443   76d
grafana           grafana             nginx   grafana.eaglepass.io                         10.0.20.226   80, 443   76d
humbleai-canary   humbleai-canary     nginx   humbleai-canary.eaglepass.io                 10.0.20.226   80, 443   76d
humbleai          humbleai            nginx   humbleai.eaglepass.io                        10.0.20.226   80, 443   76d
kanidm            kanidm              nginx   auth.eaglepass.io                            10.0.20.226   80, 443   76d
localai           localai-local-ai    nginx   localai.eaglepass.io                         10.0.20.226   80, 443   76d
n8n               n8n                 nginx   n8n.eaglepass.io                             10.0.20.226   80, 443   53d
nextcloud         nextcloud           nginx   nextcloud.eaglepass.io                       10.0.20.226   80, 443   64d
ollama            ollama              nginx   ollama.eaglepass.io                          10.0.20.226   80, 443   27d
openwebui         openwebui           nginx   open.eaglepass.io                            10.0.20.226   80, 443   76d
radarr            radarr              nginx   radarr.eaglepass.io                          10.0.20.226   80, 443   76d
sabnzbd           sabnzbd             nginx   sabnzbd.eaglepass.io                         10.0.20.226   80, 443   76d
searxng           searxng             nginx   searxng.eaglepass.io                         10.0.20.226   80, 443   76d
sonarr            sonarr              nginx   sonarr.eaglepass.io                          10.0.20.226   80, 443   76d
woodpecker        woodpecker-server   nginx   ci.eaglepass.io                              10.0.20.226   80, 443   76d
zot               zot                 nginx   registry.eaglepass.io                        10.0.20.226   80, 443   76d
